59842	745483	637582	274673	61220
629814	690366	678201	121069	396804
786458	597389	940022	844543	874394
174563	928686	911778	335722	317180
897404	45771	53795	155017	80809
946657	470415	86087	745413	704437
88908	728767	25704	738956	548102
650748	688544	545196	873406	415715
780218	338473	178215	742542	733945
960887	296066	507008	338746	469295
211966	336250	61009	855711	530641
385496	223767	728653	245322	293353
770449	907546	256023	345395	633004
995293	398544	802249	357634	397357
490018	70250	917336	23006	595269
275521	312323	241162	9876	90846
819313	214230	666421	713949	412074
455020	714318	817383	577055	80776
209261	968421	607105	684102	387773
930432	27667	163882	840790	232386
